title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,synopsis
8646,Apple Black,GRAPHIC_NOVEL,Odunze Oguguo,SUNDAY,4,9521,7.67,27874,2278,ONGOING,"In a world of sorcery, where items can become wands, Sano, a young sorcerer whose entire arm is blessed with the power of a god, struggles to fulfill his prophesied destiny, hailed as the Trinity, savior of the world.
Fearing he may be quite the opposite with ominous visions seemingly seeking to steer him down darker paths, Sano dreams of protecting the world from a devastating event known as the Infinite Night.

Can Sano and his friends uncover the mysteries of the immense power that is Apple Black and prevent the Infinite Night?

Apple Black is the hit African manga by Saturday AM co-founder, Odunze Oguguo, aka WhytManga."
8645,The Duke is a Thug,ROMANCE,"FLAGCAT STUDIO,Juice™",WEDNESDAY,5,39343,6.55,195787,13364,ONGOING,"Carjacked and hit by a truck, Park Min Seo wakes up as Madelyn Roseheart, a frail baron’s daughter destined to marry the terrifying Duke of the North, Torsten Icewood. But Min Seo has no interest in romance—she’s a businesswoman who wants nothing more than to annul the engagement and start fresh. The twist? The Duke is none other than her carjacker, who was also reincarnated here… and claims they’ve both been thrown into a romance novel he once read, in which their characters are destined to die. The harder Madelyn tries to break free from her fate, the more entangled she becomes with her thuggish fiancé. And between murderous parties, poisoned tea, and hidden truths, one question remains: will they outsmart their tragic ending, or fall for each other in the process?"
8580,The Twins' New Life,FANTASY,"nicca,Suon(REDICE STUDIO),Aidera","TUESDAY,THURSDAY,SATURDAY",3,31422,6.54,214188,18067,ONGOING,"Reborn as the prince and princess of a fantastical land, Arienne Yuriana and her twin brother, Arhen, should have been living a life of luxury… But instead of beautiful palaces, magical adventures, and attentive servants, the twins are left by the emperor to live with their abusive mother in a rundown castle full of cruel maids. However, after a freak accident suddenly leaves them without a guardian, their father reappears, saying that now he wants them to live in the palace! Thrown into an unfamiliar world of royals, can the twins forgive their neglectful dad and make the most of their new life with him? Or will this world prove too dangerous for the two of them to survive? Based on the hit novel.

This series contains themes regarding child abuse and trauma that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)"
8579,Daisy: How to Become the Duke's Fiancée,ROMANCE,"ALLYN,W(REDICE STUDIO),Lisabel","TUESDAY,THURSDAY,SATURDAY",3,23932,5.0,125581,7962,ONGOING,"Sweet, timid Daisy meets a tragic end after being betrayed by the man she loves. When she is given a second chance at life, she vows not to repeat the same mistakes of the past! The only problem is that she must pay off her father’s gambling debt to Kilian, an aristocrat with a terrifying reputation. One option will take her 60 years, and the other, just three... but it involves a contract marriage to Kilian, who must be three years married in order to inherit the title of duke. While Daisy has sworn off men, the conditions of the offer are too good to pass up. She will be paid a generous amount of money at the end of the contract and also be guaranteed a swift divorce. Is she making a mistake by putting her trust in another man? Or will this deal give her the wings she needs to fly? Based on the hit novel."
8578,Double Kill,ACTION,"Brandon Chen,UA983,Inspired Productions",TUESDAY,5,20435,8.04,72669,5335,ONGOING,"Kasai was only a boy when he watched his parents die, not from blades or bullets, but as their very souls were ripped away. No one believed him. No one but Naraka, a ruthless mafia syndicate that raised him into their perfect weapon.

Now, years later, Kasai has escaped the underworld, desperate to bury his bloodstained past. But when Naraka comes hunting, fate delivers him into the hands of a mysterious group of assassins that are after Naraka, known as Soul Hunters. But their killings don’t end with the body; they annihilate the soul itself, preventing their targets from reincarnation. 

For Kasai, they may also hold the truth about the night his parents were killed. To uncover what really happened, and finally break free from Naraka, Kasai must hunt the very Mafia family that forged the monster he has become."
8551,Project MARS,ACTION,YOUNGJU,MONDAY,3,4321,6.0,16041,1482,ONGOING,"Ddeosari Cha, or Plankie, lost her family to an alien attack years ago and is bullied for her unusual name and obsession with aliens. When two mysterious Kudoomians– aliens with pink blood, disguised as humans– appear to capture her, she fights back using a strange power… the ability to control the stars. Outnumbered and outmatched, suddenly a blue alien steps into the fray, offering what might be the chance at friendship she’s been searching for her entire life. Will Plankie finally find the ally she needs?"
8541,One and Only,ROMANCE,"ROSE BEAN,ImJooyi",THURSDAY,3,57360,8.84,408864,15472,ONGOING,"Ten years ago, Yeonju left Eunseong, the man she loved, to protect his budding career. Now a stylist and devoted single mom to her son, Hanbyeol, she's shocked to learn that the lead actor of her next film is the very man she walked away from..."
8520,Who’s That Girl?,ROMANCE,Song Geukjang,TUESDAY,4,21214,8.16,111603,7230,ONGOING,"Sanghyeon Kim has the talent and the drive to become a K-pop star—but one thing keeps holding him back: a false school bullying accusation. After countless rejections, his dream feels more distant than ever. But when the head director of a major entertainment company hands him a mysterious bath bomb that transforms him into his past-life self, he's suddenly staring at an unbelievably beautiful... woman? Sanghyeon's second shot at fame is about to begin—in the most unexpected way!"
8480,Shovel Up!,FANTASY,"Lee Know,Sehoon Kim,studio HOHOEE",TUESDAY,3,4453,10.0,21226,1527,ONGOING,"""Welcome to Another World. Exciting adventures with millions of other users await you!"" Or at least, that's what Jiseok was promised when logging in. Instead, he finds himself alone with nothing but an ordinary shovel to fend off ferocious beasts, evil dragons, and... some dude in tighty-whities? Now, Jiseok's only got two choices - dig or die."
8476,Star Wars™ (2015),GRAPHIC_NOVEL,"Lucasfilm Ltd.,Jason Aaron,John Cassaday",SATURDAY,3,26099,5.55,763679,6921,ONGOING,"Luke Skywalker and the ragtag band of rebels fighting against the Galactic Empire are fresh off their biggest victory yet--the destruction of the massive battle station known as the Death Star. But the Empire's not toppled yet! Join Luke along with Princess Leia, smugglers Han Solo and Chewbacca, droids C-3PO and R2-D2 and the rest of the Rebel Alliance as they strike out for freedom against the evil forces of Darth Vader and his master, the Emperor."
8475,The Amazing Spider-Man (2022),GRAPHIC_NOVEL,"Marvel,Zeb Wells,John Romita Jr.",SATURDAY,4,85154,4.15,1278329,22565,ONGOING,"Peter Parker is on the outs with the Avengers, the Fantastic Four and even Aunt May! But what did Spider-Man do that has alienated him from everyone? And what’s going on with Peter and Mary Jane? Doctor Octopus is out to get his archnemesis, the Master Planner is unleashing fresh schemes and the gangster called Tombstone is masking some shocking moves that will culminate in a truly brutal showdown! Somebody from Spidey’s past captures the Sinister Six and uses them to create the truly terrifying Sinister Adaptoid! Norman Osborn returns to shake up the status quo! Tragedy strikes when a young hero falls! And Marvel’s two most infamous clones — Ben Reilly and Madelyne Pryor — unite to spin a Dark Web that ensnares Spidey and the X-Men!"
8474,The Returned C-Rank Tank Won't Die!,ACTION,"ttomin,busung,coffeefen",SUNDAY,4,84010,9.17,416409,35378,ONGOING,"Betrayed by her team and abandoned to die in a dungeon, timid C-rank hunter Cho-i Hyeon discovers a cursed ring that keeps her alive by endlessly regenerating her body. Time stretches into years as she’s killed over and over, unable to escape. When she finally does, she’s no longer the girl who was left behind. Stronger, colder, and haunted by something growing inside her, she wants answers -- and revenge. But the ring may have a will of its own, and its true cost is only beginning to surface. Whatever it is, it may already be too late to stop."
8473,Miyeon,DRAMA,seo nye,WEDNESDAY,3,25749,9.35,263174,8159,ONGOING,"Picture this: It’s your final year of high school, and you can’t wait to get out there and live your best life. You blush at the popular kid, and eye the new transfer student with bruises on his face. You’re looking forward to the future… Until you wake up in the future, with no memory of the last six years. Suddenly finding herself as a 25-year-old aspiring actress, Miyeon Seo begins to unravel the painful threads of her forgotten past."
8472,Footsteps in the Snow,DRAMA,SAISA,MONDAY,3,7147,9.14,23315,2559,ONGOING,"In a world where blue snow freezes everything it touches, humanity has long forgotten what warmth feels like. Seonu, a teenage boy with a prosthetic leg, carries the lifeless body of Iseo through the snow-covered wasteland, determined to bring her home one final time. The snow will soon erase his footsteps but not the promise that keeps him moving."
